Name,Team,Mins,Goals,Assists,Bonus Points,Total Points,P90
Olivier Giroud,Arsenal,3069,16,9,29,187,5.483870968
Wojciech Szczesny,Arsenal,3330,0,0,4,157,4.243243243
Per Mertesacker,Arsenal,3150,2,1,23,157,4.485714286
Laurent Koscielny,Arsenal,2739,2,0,24,155,5.093099671
Aaron Ramsey,Arsenal,1761,10,9,19,146,7.461669506
Mesut Özil,Arsenal,2141,5,10,18,137,5.758991126
Bacary Sagna,Arsenal,3061,1,3,7,133,3.910486769
Santiago Cazorla,Arsenal,2587,4,8,10,128,4.453034403
Lukas Podolski,Arsenal,1168,8,4,14,91,7.011986301
Kieran Gibbs,Arsenal,2056,0,1,5,89,3.895914397
Jack Wilshere,Arsenal,1719,3,4,6,76,3.979057592
Mikel Arteta,Arsenal,2407,2,0,3,76,2.841711674
Theo Walcott,Arsenal,860,5,5,7,72,7.534883721
Tomas Rosicky,Arsenal,1573,2,1,5,66,3.776223776
Nacho Monreal,Arsenal,1184,0,1,2,63,4.788851351
Carl Jenkinson,Arsenal,803,1,2,7,50,5.603985056
Mathieu Flamini,Arsenal,1605,2,0,3,48,2.691588785
Alex Oxlade-Chamberlain,Arsenal,529,2,3,3,41,6.975425331
Thomas Vermaelen,Arsenal,788,0,1,5,29,3.312182741
Serge Gnabry,Arsenal,462,1,1,2,29,5.649350649
Nicklas Bendtner,Arsenal,163,2,0,1,19,10.49079755
Yaya Sanogo,Arsenal,78,0,0,0,8,9.230769231
Lukasz Fabianski,Arsenal,90,0,0,0,7,7
Kim Kallstrom,Arsenal,130,0,0,0,3,2.076923077
Vassiriki Diaby,Arsenal,17,0,0,0,1,5.294117647
Chuba Akpom,Arsenal,1,0,0,0,1,90
Ryo Miyaichi,Arsenal,18,0,0,0,1,5
Clarindo Andre Santos,Arsenal,0,0,0,0,0,n/a
Yao Gervinho,Arsenal,0,0,0,0,0,n/a
Emmanuel Frimpong,Arsenal,0,0,0,0,0,n/a
Gedion Zelalem,Arsenal,0,0,0,0,0,n/a
Emiliano Viviano,Arsenal,0,0,0,0,0,n/a
Isaac Hayden,Arsenal,0,0,0,0,0,n/a
Chu-Young Park,Arsenal,0,0,0,0,0,n/a
Héctor Bellerín,Arsenal,0,0,0,0,0,n/a
Bradley Guzan,Aston Villa,3420,0,1,11,127,3.342105263
Andreas Weimann,Aston Villa,2651,5,5,6,106,3.598642022
Leandro Bacuna,Aston Villa,2598,5,1,10,104,3.602771363
Christian Benteke,Aston Villa,2126,10,2,16,103,4.360301035
Ashley Westwood,Aston Villa,3078,3,2,7,100,2.923976608
Fabian Delph,Aston Villa,3004,3,3,8,97,2.906125166
Gabriel Agbonlahor,Aston Villa,2441,4,7,10,97,3.576403113
Ron Vlaar,Aston Villa,2803,0,1,13,92,2.953977881
Karim El Ahmadi,Aston Villa,2177,2,1,1,69,2.85254938
Nathan Baker,Aston Villa,2478,0,1,4,62,2.251815981
Ciaran Clark,Aston Villa,2203,0,0,4,56,2.287789378
Antonio Luna,Aston Villa,1381,1,0,2,49,3.193338161
Matthew Lowton,Aston Villa,1664,0,3,3,43,2.325721154
Libor Kozák,Aston Villa,782,4,0,5,42,4.833759591
Marc Albrighton,Aston Villa,974,0,4,0,38,3.511293634
Ryan Bertrand,Aston Villa,1449,0,0,0,30,1.863354037
Aleksandar Tonev,Aston Villa,599,0,0,0,24,3.606010017
Grant Holt,Aston Villa,382,1,0,2,18,4.240837696
Yacouba Sylla,Aston Villa,552,0,0,0,16,2.608695652
Joe Bennett,Aston Villa,243,0,0,0,14,5.185185185
Jordan Bowery,Aston Villa,239,0,1,0,11,4.142259414
Jores Okore,Aston Villa,166,0,0,0,4,2.168674699
Callum Robinson,Aston Villa,50,0,0,0,4,7.2
Nicklas Helenius,Aston Villa,51,0,0,0,3,5.294117647
Chris Herd,Aston Villa,170,0,0,0,2,1.058823529
Jack Grealish,Aston Villa,3,0,0,0,1,30
Shay Given,Aston Villa,0,0,0,0,0,n/a
Enda Stevens,Aston Villa,0,0,0,0,0,n/a
Charles N'Zogbia,Aston Villa,0,0,0,0,0,n/a
Gary Gardner,Aston Villa,0,0,0,0,0,n/a
Brett Holman,Aston Villa,0,0,0,0,0,n/a
Nathan Delfouneso,Aston Villa,0,0,0,0,0,n/a
Samir Carruthers,Aston Villa,0,0,0,0,0,n/a
Jed Steer,Aston Villa,0,0,0,0,0,n/a
Daniel Johnson,Aston Villa,0,0,0,0,0,n/a
Janoi Donacien,Aston Villa,0,0,0,0,0,n/a
Jordan Mutch,Cardiff City,2263,7,6,13,123,4.891736633
Steven Caulker,Cardiff City,3420,5,0,19,122,3.210526316
David Marshall,Cardiff City,3330,0,0,11,121,3.27027027
Pete Whittingham,Cardiff City,2661,3,6,12,109,3.686583991
Fraizer Campbell,Cardiff City,2764,6,4,7,108,3.516642547
Gary Medel,Cardiff City,2862,0,1,0,71,2.232704403
Ben Turner,Cardiff City,2721,0,1,6,69,2.282249173
Kévin Théophile-Catherine,Cardiff City,2357,0,0,1,55,2.10012728
Aron Gunnarsson,Cardiff City,1538,1,2,2,54,3.159947984
Craig Bellamy,Cardiff City,1257,2,1,3,51,3.651551313
Bo-Kyung Kim,Cardiff City,1672,1,0,0,46,2.476076555
