ID,Name,Team,Position,Availability,Selection,EA_Index,Price
1,Wojciech Szczesny,Arsenal,Goalkeeper,100,4.7,172,5.2
2,Laurent Koscielny,Arsenal,Defender,100,9.9,387,6.1
3,Thomas Vermaelen,Arsenal,Defender,0,0.1,0,5.0
4,Kieran Gibbs,Arsenal,Defender,100,1.7,262,5.2
5,Carl Jenkinson,West Ham,Defender,100,0.8,369,5.0
6,Per Mertesacker,Arsenal,Defender,100,5.2,413,6.1
7,Nacho Monreal,Arsenal,Defender,100,3.5,361,4.9
8,Isaac Hayden,Arsenal,Defender,,0.1,0,4.3
9,Hector Bellerin,Arsenal,Defender,100,6.9,302,4.8
10,Jack Wilshere,Arsenal,Midfielder,100,2.3,161,6.3
11,Theo Walcott,Arsenal,Midfielder,100,0.4,195,8.2
12,Aaron Ramsey,Arsenal,Midfielder,100,13.4,403,8.8
13,Tomas Rosicky,Arsenal,Midfielder,100,0.5,155,4.6
14,Mikel Arteta,Arsenal,Midfielder,0,0.7,75,5.2
15,Alex Oxlade-Chamberlain,Arsenal,Midfielder,100,1.0,270,6.2
16,Santiago Cazorla,Arsenal,Midfielder,,14.8,798,8.4
17,Vassiriki Diaby,Arsenal,Midfielder,100,0.0,0,4.7
18,Serge Gnabry,Arsenal,Midfielder,100,0.0,0,4.8
19,Gedion Zelalem,Arsenal,Midfielder,,0.0,0,4.7
20,Mathieu Flamini,Arsenal,Midfielder,100,0.2,225,4.8
21,Mesut Özil,Arsenal,Midfielder,100,4.4,463,9.0
22,Ryo Miyaichi,Arsenal,Midfielder,100,0.0,0,4.5
23,Alexis Sánchez,Arsenal,Midfielder,100,37.2,888,11.6
24,Lukas Podolski,Arsenal,Forward,100,0.4,14,7.2
25,Olivier Giroud,Arsenal,Forward,100,19.0,511,8.7
26,Yaya Sanogo,Crystal Palace,Forward,100,0.7,41,4.7
27,Chuba Akpom,Arsenal,Forward,100,0.0,23,4.8
28,Joel Campbell,Arsenal,Forward,0,0.4,5,5.0
29,Shay Given,Aston Villa,Goalkeeper,,7.3,37,4.0
30,Bradley Guzan,Aston Villa,Goalkeeper,,11.6,288,4.6
31,Nathan Baker,Aston Villa,Defender,100,0.1,53,4.3
32,Ciaran Clark,Aston Villa,Defender,0,0.6,236,4.2
